well_code,well_name,file_name,profile_file_name,log_date,depth_m,temperature_c,point_index,source_sample_count,sampled_point_count,sample_method,profile_point_role,public_product_role
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,240.49,-5.337,94,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,242.93,-5.234,95,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,245.36,-5.136,96,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,247.8,-5.043,97,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,250.24,-4.954,98,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,252.68,-4.874,99,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,255.12,-4.8,100,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,257.56,-4.732,101,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,259.69,-4.676,102,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,262.13,-4.618,103,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,264.57,-4.563,104,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,267.0,-4.511,105,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,269.44,-4.461,106,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,271.88,-4.41,107,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,274.32,-4.36,108,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
